"","Date","GDP.Price.Index","Inflation.rate","SPF.t.t.1.","SPF.t.t.2.","Greenbook.t.t.1.","Greenbook.t.t.2.","X3.month.T.bill.rate","X5.year.Treasury.yield","unempl..Rate","S.P500.index"
"120",1997,78.606,0.575847527804996,2.2829,2.4773,2.1,2.4,5.16,5.77,4.7,970.43
"121",1998,78.786,0.915960613693656,2.2333,2.4311,2.2,2.3,5.03,5.61,4.7,1101.75
"122",1998,79.071,1.44695758129618,1.9852,2.2648,1.6,2,4.98,5.52,4.5,1133.84
"123",1998,79.278,1.04716014720951,1.5997,2.0981,1.7,1.6,4.61,4.62,4.6,1017.01
"124",1998,79.575,1.49852418073104,1.7561,1.9783,1.4,1.7,4.39,4.45,4.4,1229.23
"125",1999,79.908,1.67389255419419,1.7364,1.9718,1.7,1.7,4.44,5.14,4.2,1286.37
"126",1999,80.191,1.41662912349201,1.3769,1.6906,1.4,1.3,4.57,5.81,4.3,1372.71
"127",1999,80.585,1.96530782756161,1.5016,1.5197,1.5,1.5,4.68,5.8,4.2,1282.71
"128",1999,81.184,2.97325805050566,1.7043,1.8242,1.6,1.5,5.2,6.19,4,1469.25
"129",2000,81.631,2.20240441466304,1.7699,1.9678,2.1,2.2,5.69,6.5,4,1498.58
"130",2000,82.154,2.56275189572586,1.8315,1.7738,1.8,1.7,5.69,6.3,4,1454.6
"131",2000,82.591,2.12771137132703,2.1357,1.7797,1.9,1.9,6,5.93,3.9,1436.51
"132",2000,83.117,2.54749306825204,2.3169,2.1954,1.6,1.8,5.77,5.17,3.9,1320.28
"133",2001,83.699,2.80087106127507,2.4149,2.3598,2.4,2.2,4.42,4.64,4.3,1160.33
"134",2001,83.97,1.29511702648779,2.1852,2.3775,1.8,1.7,3.49,4.81,4.5,1224.42
"135",2001,84.233,1.25282839109211,2.1192,2.1174,1.3,1.6,2.64,4.12,5,1040.94
"136",2001,84.48,1.17293697244545,2.0595,2.3059,1.8,1.3,1.69,4.39,5.7,1148.08
"137",2002,84.829,1.65246212121204,1.7952,2.0517,2,2.2,1.79,4.74,5.7,1147.39
"138",2002,85.204,1.76826321187331,1.7229,1.6484,1.6,1.7,1.7,4.19,5.8,989.81
"139",2002,85.649,2.0891037979438,1.8163,1.5945,1.3,1.5,1.63,2.94,5.7,815.28
"140",2002,86.184,2.49856974395497,1.6741,1.9585,1.3,1.4,1.19,3.03,6,879.82
"141",2003,86.463,1.29490392648286,1.9301,1.9775,1.6,1.7,1.13,2.78,5.9,848.18
"142",2003,86.932,2.16971421301597,1.7614,1.7554,1.2,1.2,0.92,2.27,6.3,974.5
"143",2003,87.363,1.98315925090871,1.6128,1.6485,1.1,1.2,0.94,3.18,6.1,995.97
"144",2003,88.115,3.44310520472053,1.5453,1.8286,1,1.2,0.9,3.27,5.7,1111.92
"145",2004,88.856,3.36378596152755,1.8073,1.9238,1.1,1.3,0.94,2.79,5.8,1126.21
"146",2004,89.438,2.61996938867384,1.4197,1.7622,0.6,0.9,1.27,3.93,5.6,1140.84
"147",2004,90.063,2.7952324515307,1.7506,1.4752,0.6,0.6,1.65,3.36,5.4,1114.58
"148",2004,90.894,3.69074980846742,2.1333,1.8486,1.2,0.7,2.19,3.6,5.4,1211.92
"149",2005,91.549,2.88247849142955,2.1065,2.2856,1.6,1.9,2.74,4.17,5.2,1180.59
"150",2005,92.399,3.71385815246477,2.1223,2.0121,1.6,1.3,2.97,3.77,5,1191.33
"151",2005,93.098,3.02600677496505,2.1958,2.0112,1.2,1.6,3.42,4.01,5,1228.81
"152",2005,93.816,3.08492126576301,2.3063,2.2888,2,1.5,3.89,4.39,4.9,1248.29
"153",2006,94.589,3.29581308092433,2.5406,2.388,1.8,2.4,4.51,4.72,4.7,1294.83
"154",2006,95.25,2.79525103341829,2.2766,2.3572,2.5,2.2,4.79,5.07,4.6,1270.2
"155",2006,95.591,1.43202099737527,2.3696,2.2263,1.9,2.2,4.81,4.67,4.5,1335.85
"156",2006,96.659,4.46903997238239,2.6257,2.431,1.6,2.1,4.85,4.53,4.4,1418.3
"157",2007,97.216,2.30501039737625,2.6758,2.7933,3,2.1,4.94,4.48,4.4,1420.86
"158",2007,97.538,1.32488479262678,2.1676,2.3349,2.4,2.7,4.61,5.03,4.6,1503.35
"159",2007,97.945,1.66909307141827,2.2044,2.1316,1.7,2.3,3.89,4.2,4.7,1526.75
"160",2007,98.506,2.29108172954211,2.1259,2.132,2.1,2.1,3,3.49,5,1468.36
"161",2008,98.941,1.76638986457682,2.4606,2.4643,2.7,2.2,1.26,2.48,5.1,1322.7
"162",2008,99.619,2.74102748102401,2.1716,2.0642,2,2.2,1.86,3.49,5.6,1280
"163",2008,99.805,0.746845481283742,2.3308,2.1347,2.4,2,1.13,2.88,6.1,1166.36
"164",2008,100.045,0.961875657532207,2.4977,2.1774,2,2.1,0.03,1.52,7.3,903.25
"165",2009,99.889,-0.623719326303185,2.0975,2.2872,2,2.6,0.21,1.82,8.7,797.87
"166",2009,99.882,-0.028031114537086,0.7342,1.7228,2.3,1.6,0.18,2.71,9.5,919.32
"167",2009,100.183,1.20542239843013,1.6218,1.4097,1.5,1.4,0.12,2.37,9.8,1057.08
"168",2009,100.517,1.33355958595764,1.4207,1.5872,1.2,1.1,0.05,2.34,9.9,1115.1
"169",2010,100.981,1.8464538336799,1.3283,1.5523,1.7,1.1,0.15,2.43,9.9,1169.43
"170",2010,101.444,1.83400837781367,1.1455,1.1801,1.1,1.3,0.12,2,9.4,1030.71
"171",2010,101.963,2.04644927250497,1.45,1.3838,1.3,1.2,0.15,1.41,9.5,1141.2
"172",2010,102.409,1.74965428635883,1.2334,1.4677,0.8,1,0.14,1.93,9.3,1257.64
